prize;discipline;year;laureate;motivation
Nobel Prize;chemistry;1946;James Batcheller Sumner (US);for his discovery that enzymes can be crystallized
Nobel Prize;chemistry;1946;John Howard Northrop (US), Wendell Meredith Stanley (US) ;for their preparation of enzymes and virus proteins in a pure form
Nobel Prize;peace;1946;Emily Greene Balch (US);International President of the Women's International League for Peace and Freedom
Nobel Prize;peace;1946;John Raleigh Mott (US);President of the World Alliance of Young Men's Christian Associations (YMCA)
Nobel Prize;medicine;1947;Bernardo Alberto Houssay (US) ;for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar
Nobel Prize;medicine;1947;Carl Ferdinand Cori (US), Gerty Theresa Cori (US) ;for their discovery of the course of the catalytic conversion of glycogen
Nobel Prize;literature;1947;André Gide (Fra);for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight
Nobel Prize;physics;1947;Sir Edward Victor Appleton (GB) ;for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer
Nobel Prize;chemistry;1947;Sir Robert Robinson (GB) ;for his investigations on plant products of biological importance, especially the alkaloids
Nobel Prize;peace;1947;The Friends Service Council (GB), The American Friends Service Committee (US);in the name of the Religious Society of Friends, better known as the Quakers
Nobel Prize;medicine;1948;Paul Hermann Müller (Swi) ;for his discovery of the high efficiency of DDT as a contact poison against several arthropods
Nobel Prize;literature;1948;Thomas Stearns Eliot (VS/GB);for his outstanding, pioneer contribution to present-day poetry
Nobel Prize;physics;1948;Patrick Maynard Stuart Blackett (GB) ;for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation
Nobel Prize;chemistry;1948;Arne Wilhelm Kaurin Tiselius (Swe) ;for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins
Nobel Prize;medicine;1949;Walter Rudolf Hess (Swi), Antonio Caetano De Abreu Freire Egas Moniz (Por) ;for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs, Moniz for the discovery of therapeutical effects of leucotomy
Nobel Prize;literature;1949;William Faulkner (US);for his powerful and artistically unique contribution to the modern American novel
Nobel Prize;physics;1949;Hideki Yukawa (Jap) ;for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces
Nobel Prize;chemistry;1949;William Francis Giauque (US) ;for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures
Nobel Prize;peace;1949;Lord John Boyd Orr of Brechin (GB);leading organizer and Director General of the UN Food and Agricultural Organization, President of the National Peace Council and the World Union of Peace Organizations
Nobel Prize;medicine;1950;Edward Calvin Kendall (US), Tadeus Reichstein (Swi), Philip Showalter Hench (US) ;for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects
Nobel Prize;literature;1950;Bertrand Russell (GB);in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought
Nobel Prize;physics;1950;Cecil Powell (GB) ;for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method
Nobel Prize;chemistry;1950;Otto Paul Hermann Diels (Ger), Kurt Alder (Ger) ;for their discovery and development of the diene synthesis
Nobel Prize;peace;1950;Ralph Bunche (US);mediator in Palestine in 1948
Nobel Prize;medicine;1951;Max Theiler (US) ;for his discoveries concerning yellow fever and how to combat it
Nobel Prize;literature;1951;Pär Fabian Lagerkvist (Swe);for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind
Nobel Prize;physics;1951;Sir John Douglas Cockcroft (GB), Ernest Thomas Sinton Walton (Ier) ;for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
Nobel Prize;chemistry;1951;Edwin Mattison McMillan (US), Glenn Theodore Seaborg (US) ;for their discoveries in the chemistry of the transuranium elements
Nobel Prize;peace;1951;Léon Jouhaux (Fra);President of the International Committee of the European Council, Vice President of the International Confederation of Free Trade Unions, Vice President of the World Federation of Trade Unions, member of the ILO Council, delegate to the UN
Nobel Prize;medicine;1952;Selman Abraham Waksman (US) ;for his discovery of streptomycin, the first antibiotic effective against tuberculosis
Nobel Prize;literature;1952;François Mauriac (Fra);for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life
Nobel Prize;physics;1952;Felix Bloch (US), Edward Mills Purcell (US) ;for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
Nobel Prize;chemistry;1952;Archer John Porter Martin (GB), Richard Laurence Millington Synge (GB) ;for their invention of partition chromatography
Nobel Prize;peace;1952;Albert Schweitzer (Fra/Dui);founder of the Lambarene Hospital in Gabon
Nobel Prize;medicine;1953;Fritz Albert Lipmann (US) ;for his discovery of co-enzyme A and its importance for intermediary metabolism
Nobel Prize;medicine;1953;Hans Adolf Krebs (GB) ;for his discovery of the citric acid cycle
Nobel Prize;literature;1953;Sir Winston Churchill (GB);for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values
Nobel Prize;physics;1953;Frits Zernike (Net) ;for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope
Nobel Prize;chemistry;1953;Hermann Staudinger (Ger) ;for his discoveries in the field of macromolecular chemistry
Nobel Prize;peace;1953;George C. Marshall (US);for the Marshallplan
Nobel Prize;medicine;1954;John Franklin Enders (US), Thomas Huckle Weller (US), Frederick Chapman Robbins (US) ;for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
Nobel Prize;literature;1954;Ernest Hemingway (US);for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style
Nobel Prize;physics;1954;Max Born (GB);for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction
Nobel Prize;physics;1954;Walther Bothe (Ger) ;for the coincidence method and his discoveries made therewith
