prize;discipline;year;laureate;motivation
Nobel Prize;medicine;1992;Edmond H. Fischer (Swi), Edwin Krebs (US) ;for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
Turing Award;informatics;1992;Butler W. Lampson (US) ;for contributions to the development of distributed, personal computing environments and the technology for their implementation: workstations, networks, operating systems, programming systems, displays, security and document publishing
Nobel Prize;literature;1992;Derek Walcott (SLa);for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment
Nobel Prize;physics;1992;Georges Charpak (Fra) ;for his invention and development of particle detectors, in particular the multiwire proportional chamber
Nobel Prize;chemistry;1992;Rudolph Arthur Marcus (US) ;for his contributions to the theory of electron transfer reactions in chemical systems
Nobel Prize;peace;1992;Rigoberta Menchu Tum (Gua);for her battle for humain rights, especially for natives
Nobel Prize;economics;1993;Robert Fogel (US), Douglass North (US);for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
Nobel Prize;medicine;1993;Richard J. Roberts (GB), Phillip A. Sharp (US) ;for their discoveries of split genes
Turing Award;informatics;1993;Juris Hartmanis (Let), Richard E. Stearns (US) ;in recognition of their seminal paper which established the foundations for the field of computational complexity theory
Nobel Prize;literature;1993;Toni Morrison (US);who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality
Nobel Prize;physics;1993;Russell Alan Hulse (US), Joseph Hooton Taylor (US) ;for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation
Nobel Prize;chemistry;1993;Kary Banks Mullis (US), Michael Smith (Can) ;for contributions to the developments of methods within DNA-based chemistry
Nobel Prize;peace;1993;Nelson Mandela (Z-Afr), Frederik Willem de Klerk (Z-Afr);for laying the foundations for a new, democratic South Africa
Nobel Prize;economics;1994;John Harsanyi (US), John Forbes Nash (US), Reinhard Selten (Ger);for their pioneering analysis of equilibria in the theory of non-cooperative games
Nobel Prize;medicine;1994;Alfred G. Gilman (US), Martin Rodbell (US) ;for their discovery of G-proteins and the role of these proteins in signal transduction in cells
Turing Award;informatics;1994;Edward Feigenbaum (US), Raj Reddy (Ind) ;for pioneering the design and construction of large scale artificial intelligence systems, demonstrating the practical importance and potential commercial impact of artificial intelligence technology
Nobel Prize;literature;1994;Kenzaburo Oë (Jap);who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today
Nobel Prize;physics;1994;Bertram Neville Brockhouse (Can);for the development of neutron spectroscopy
Nobel Prize;physics;1994;Clifford Glenwood Shull (US) ;for the development of the neutron diffraction technique
Nobel Prize;chemistry;1994;George Andrew Olah (US) ;for his contribution to carbocation chemistry
Nobel Prize;peace;1994;Yasser Arafat (Pal), Shimon Peres (Isr), Yitzhak Rabin (Isr);for their efforts to create peace in the Middle East
Nobel Prize;economics;1995;Robert Lucas Jr. (US);for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy
Nobel Prize;medicine;1995;Edward B. Lewis (US), Christiane Nüsslein-Volhard (Ger), Eric F. Wieschaus (US) ;for their discoveries concerning the genetic control of early embryonic development
Turing Award;informatics;1995;Manuel Blum (Ven) ;in recognition of his contributions to the foundations of computational complexity theory and its application to cryptography and program checking
Nobel Prize;literature;1995;Seamus Heaney (Ier);for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past
Nobel Prize;physics;1995;Martin Lewis Perl (US);for the discovery of the tau lepton
Nobel Prize;physics;1995;Frederick Reines (US) ;for the detection of the neutrino
Nobel Prize;chemistry;1995;Paul Josef Crutzen (Net), Mario Jose Molina (US), Frank Sherwood Rowland (US) ;for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone
Nobel Prize;peace;1995;Joseph Rotblat (Pol/GB) , Pugwash Conferences on Science and World Affairs (Can);for their efforts to diminish the part played by nuclear arms in international politics
Nobel Prize;economics;1996;James Mirrlees (GB), William Vickrey  (US);for their fundamental contributions to the economic theory of incentives under asymmetric information
Nobel Prize;medicine;1996;Peter C. Doherty (Aus), Rolf M. Zinkernagel (Swi) ;for their discoveries concerning the specificity of the cell mediated immune defence
Turing Award;informatics;1996;Amir Pnueli (Isr) ;for seminal work introducing temporal logic into computing science and for outstanding contributions to program and systems verification
Nobel Prize;literature;1996;Wislawa Szymborska (Pol);for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality
Nobel Prize;physics;1996;David Morris Lee (US), Douglas Dean Osheroff (US), Robert Coleman Richardson (US) ;for their discovery of superfluidity in helium-3
Nobel Prize;chemistry;1996;Robert Curl (US), Sir Harold Kroto (GB), Richard Smalley (US) ;for their discovery of fullerenes
Nobel Prize;peace;1996;Bisschop Carlos Felipe Ximenes Belo (O-Tim), Jose Ramos-Horta (O-Tim);for their work towards a just and peaceful solution to the conflict in East Timor
Nobel Prize;economics;1997;Robert C. Merton (US), Myron Scholes (US);for a new method to determine the value of derivatives
Nobel Prize;medicine;1997;Stanley B. Prusiner (US) ;for his discovery of Prions - a new biological principle of infection
Turing Award;informatics;1997;Douglas Engelbart (US) ;for an inspiring vision of the future of interactive computing and the invention of key technologies to help realize this vision
Nobel Prize;literature;1997;Dario Fo (Ita);who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden
Nobel Prize;physics;1997;Steven Chu (VS/Chn), Claude Cohen-Tannoudji (Fra), William Daniel Phillips (US) ;for development of methods to cool and trap atoms with laser light
Nobel Prize;chemistry;1997;Jens Christian Skou (Den) ;for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase
Nobel Prize;chemistry;1997;Paul Delos Boyer (US), John Ernest Walker (GB);for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
Nobel Prize;peace;1997;Jody Williams (US), International Campaign to Ban Landmines (US);for advocating the banning and erasing landmines
Nobel Prize;economics;1998;Amartya Sen (Ind);for his contributions to welfare economics
Nobel Prize;medicine;1998;Robert F. Furchgott (US), Louis J. Ignarro (US), Ferid Murad (US) ;for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
Turing Award;informatics;1998;Jim Gray (US) ;for seminal contributions to database and transaction processing research and technical leadership in system implementation
Nobel Prize;literature;1998;José Saramago (Por);who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality
Nobel Prize;physics;1998;Robert Betts Laughlin (US), Horst Ludwig Strömer (Ger), Daniel Chee Tsui (Chn/VS) ;for their discovery of a new form of quantum fluid with fractionally charged excitations
Nobel Prize;chemistry;1998;Walter Kohn (US);for his development of the density-functional theory
Nobel Prize;chemistry;1998;John Anthong Pople (GB) ;for his development of computational methods in quantum chemistry
Nobel Prize;peace;1998;John Hume (GB), David Trimble (GB);for their efforts to find a peaceful solution to the conflict in Northern Ireland
Nobel Prize;economics;1999;Robert Mundell (Can);for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas
Nobel Prize;medicine;1999;Günter Blobel (Ger) ;for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell
Turing Award;informatics;1999;Frederick P. Brooks Jr. (US) ;for landmark contributions to computer architecture, operating systems, and software engineering
Nobel Prize;literature;1999;Günter Grass (Ger);whose frolicsome black fables portray the forgotten face of history
Nobel Prize;physics;1999;Gerardus 't Hooft (Net), Martinus J. G. Veltman (Net) ;for elucidating the quantum structure of electroweak interactions in physics
Nobel Prize;chemistry;1999;Ahmed Hassan Zewail (Egy/VS) ;for his studies of the transition states of chemical reactions using femtosecond spectroscopy
Nobel Prize;peace;1999;Artsen zonder Grenzen (Bel);als herkenning voor het humanitaire pionierwerk van de organisatoe in verschillende continenten
Nobel Prize;economics;2000;James Heckman (US);for his development of theory and methods for analyzing selective samples
Nobel Prize;economics;2000;Daniel McFadden (US);for his development of theory and methods for analyzing discrete choice
Nobel Prize;medicine;2000;Arvid Carlsson (Swe) ;for their discoveries concerning signal transduction in the nervous system
Nobel Prize;medicine;2000;Eric R. Kandel (US) ;for their discoveries concerning signal transduction in the nervous system
Nobel Prize;medicine;2000;Paul Greengard (US) ;for their discoveries concerning signal transduction in the nervous system
Turing Award;informatics;2000;Andrew Chi-Chih Yao (Chn) ;in recognition of his fundamental contributions to the theory of computation, including the complexity-based theory of pseudorandom number generation, cryptography, and communication complexity
Nobel Prize;literature;2000;Gao Xingjian (Fra);for an oeuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama
Nobel Prize;physics;2000;Zhores Ivanovich Alferov (Rus);for developing semiconductor heterostructures used in high-speed- and opto-electronics
Nobel Prize;physics;2000;Herbert Kroemer (US);for developing semiconductor heterostructures used in high-speed- and opto-electronics
Nobel Prize;physics;2000;Jack St. Clair Kilby (US) ;for his part in the invention of the integrated circuit
Nobel Prize;chemistry;2000;Alan Jay Heeger (US), Alan Graham MacDiarmid (VS/N-Z), Hideki Shirakawa (Jap) ;for the discovery and development of conductive polymers
Nobel Prize;peace;2000;Kim Dae Jung (Z-Kor);In recognition of the organisation's pioneering humanitarian work on several continents
Nobel Prize;economics;2001;George Akerlof (US), Michael Spence (US), Joseph E. Stiglitz (US);for their analyses of markets with asymmetric information
Nobel Prize;medicine;2001;Leland H. Hartwell (US), R. Timothy Hunt (GB), Paul M. Nurse (GB) ;for their discoveries of key regulators of the cell cycle
Turing Award;informatics;2001;Ole-Johan Dahl (Nor), Kristen Nygaard (Nor) ;for ideas fundamental to the emergence of object-oriented programming, through their design of the programming languages Simula I and Simula 67
Nobel Prize;literature;2001;V.S. Naipaul (GB);for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories
Nobel Prize;physics;2001;Eric Allin Cornell (US), Wolfgang Ketterle (Ger), Carl Edwin Wieman (US) ;for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates
Nobel Prize;chemistry;2001;Karl Barry Sharpless (US) ;for his work on chirally catalysed oxidation reactions
Nobel Prize;chemistry;2001;William Standish Knowles (US), Ryoji Noyori (Jap);for their work on chirally catalysed hydrogenation reactions
Nobel Prize;peace;2001;Kofi Annan (Gha), Verenigde Naties (UN);for their work for a better organized and more peaceful world
Nobel Prize;economics;2002;Daniel Kahneman (VS/Isr);for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty
Nobel Prize;economics;2002;Vernon L. Smith (US);for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms
Nobel Prize;medicine;2002;Sydney Brenner (GB), H. Robert Horvitz (US), John E. Sulston (US) ;for their discoveries concerning genetic regulation of organ development and programmed cell death
Turing Award;informatics;2002;Ronald L. Rivest (US), Adi Shamir (Isr), Leonard M. Adleman (US) ;for their ingenious contribution for making public-key cryptography useful in practice
Nobel Prize;literature;2002;Imre Kertész (Hun);for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history
Nobel Prize;physics;2002;Riccardo Giacconi (Ita) ;for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources
Nobel Prize;physics;2002;Raymond Davis Jr. (US), Masatoshi Koshiba (Jap);for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos
Nobel Prize;chemistry;2002;Kurt Wüthrich (Swi), John Bennett Fenn (US), Koichi Tanaka (Jap) ;for the development of methods for identification and structure analyses of biological macromolecules
Nobel Prize;peace;2002;Jimmy Carter (US);for his decades of untiring effort to find peaceful solutions to international conflicts
Nobel Prize;economics;2003;Robert F. Engle (US);for methods of analyzing economic time series with time-varying volatility (ARCH)
Nobel Prize;economics;2003;Clive Granger (GB);for methods of analyzing economic time series with common trends (cointegration)
Nobel Prize;medicine;2003;Paul Lauterbur (US), Peter Mansfield (GB) ;for their discoveries concerning magnetic resonance imaging
Turing Award;informatics;2003;Alan Kay (US) ;for pioneering many of the ideas at the root of contemporary object-oriented programming languages, leading the team that developed Smalltalk, and for fundamental contributions to personal computing
Nobel Prize;literature;2003;John Maxwell Coetzee (Z-Afr);who in innumerable guises portrays the surprising involvement of the outsider
Nobel Prize;physics;2003;Alexei Alexeevich Abrikosov (Rus), Vitaly Lazarevich Ginzburg (Rus), Anthony James Leggett (US) ;for pioneering contributions to the theory of superconductors and superfluids
Nobel Prize;chemistry;2003;Peter Agre (US), Roderick MacKinnon (US) ;for discoveries concerning channels in cell membranes
Nobel Prize;peace;2003;Shirin Ebadi (Iran);for her efforts for democracy and human rights, especially the rights of women and children, in Iran and the Muslim world in general
Abel Prize;mathematics;2003;Jean-Pierre Serre (Fra);for playing a key role in shaping the modern form of many parts of mathematics, including topology, algebraic geometry and number theory
Nobel Prize;economics;2004;Finn E. Kydland (Nor), Edward C. Prescott (US);for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
Nobel Prize;medicine;2004;Linda B. Buck (US), Richard Axel (US) ;for their discoveries of odorant receptors and the organization of the olfactory system
Turing Award;informatics;2004;Vinton G. Cerf (US), Robert E. Kahn (US) ;for pioneering work on internetworking, including the design and implementation of the Internet's basic communications protocols, TCP/IP, and for inspired leadership in networking
Nobel Prize;literature;2004;Elfriede Jelinek (Aut);for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power
Nobel Prize;physics;2004;David Jonathan Gross (US), Hugh David Politzer (US), Frank Wilczek (US) ;for the discovery of asymptotic freedom in the theory of the strong interaction
Nobel Prize;chemistry;2004;Aaron Ciechanover (Isr), Avram Hershko (Isr), Irwin A. Rose (US) ;for the discovery of ubiquitin-mediated protein degradation
Nobel Prize;peace;2004;Wangari Maathai (Ken);for her contribution to sustainable development, democracy and peace
Abel Prize;mathematics;2004;Michael F. Atiyah (GB), Isadore M. Singer (US);for their discovery and proof of the index theorem, bringing together topology, geometry and analysis, and their outstanding role in building new bridges between mathematics and theoretical physics
Nobel Prize;economics;2005;Robert Aumann (Isr/VS), Thomas Schelling (US);for having enhanced our understanding of conflict and cooperation through game-theory analysis
Nobel Prize;medicine;2005;Barry J. Marshall (Aus), Robin Warren (Aus) ;for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease
Turing Award;informatics;2005;Peter Naur (Den) ;for fundamental contributions to programming language design and the definition of Algol 60, to compiler design, and to the art and practice of computer programming
Nobel Prize;literature;2005;Harold Pinter (GB);who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms
Nobel Prize;physics;2005;Roy Jay Glauber (US), John L. Hall (US), Theodore Wolfgang Hänsch (Ger) ;for their contribution to the quantum theory of optical coherence
Nobel Prize;chemistry;2005;Robert Howard Grubbs (US), Richard Royce Shrock (US), Yves Chauvin (Fra) ;for the development of the metathesis method in organic synthesis
Nobel Prize;peace;2005;Mohamed ElBaradei (Egy), Internationaal Atoomenergie Agentschap (UN);for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
Abel Prize;mathematics;2005;Peter D. Lax (Hon/VS);for his groundbreaking contributions to the theory and application of partial differential equations and to the computation of their solutions
Nobel Prize;economics;2006;Edmund Phelps (US);for his analysis of intertemporal tradeoffs in macroeconomic policy
Nobel Prize;medicine;2006;Andrew Fire (US), Craig Mello (US) ;for their discovery of RNA interference - gene silencing by double-stranded RNA
Turing Award;informatics;2006;Frances E. Allen (US) ;for pioneering contributions to the theory and practice of optimizing compiler techniques that laid the foundation for modern optimizing compilers and automatic parallel execution
Nobel Prize;literature;2006;Orhan Pamuk (Tur);who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures
Nobel Prize;physics;2006;John C. Mather (US), George F. Smoot (US) ;for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
Nobel Prize;chemistry;2006;Roger D. Kornberg (US) ;for his studies of the molecular basis of eukaryotic transcription
Nobel Prize;peace;2006;Muhammad Yunus (Ban), Grameen Bank (Ban);for their efforts through microcredit to create economic and social development from below
Abel Prize;mathematics;2006;Lennart Carleson (Swe);for his profound and seminal contributions to harmonic analysis and the theory of smooth dynamical systems
Nobel Prize;economics;2007;Leonid Hurwicz (US), Eric Maskin (US), Roger Myerson (US);for having laid the foundations of mechanism design theory
Nobel Prize;medicine;2007;Mario Capecchi (US), Oliver Smithies (US), Martin J. Evans (GB) ;for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
Turing Award;informatics;2007;Edmund M. Clarke (US), E. Allen Emerson (US), Joseph Sifakis (Gri) ;for their roles in developing Model-Checking into a highly effective verification technology, widely adopted in the hardware and software industries
Nobel Prize;literature;2007;Doris Lessing (GB);that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny
Nobel Prize;physics;2007;Peter Grünberg (Ger), Albert Fert (Fra) ;for the discovery of Giant Magnetoresistance
Nobel Prize;chemistry;2007;Gerhard Ertl (Ger) ;for his studies of chemical processes on solid surfaces
Nobel Prize;peace;2007;Al Gore (US), Intergovernmental Panel on Climate Change (UN);for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change
Abel Prize;mathematics;2007;S. R. Srinivasa Varadhan (Ind/VS);for his fundamental contributions to probability theory and in particular for creating a unified theory of large deviation
Abel Prize;mathematics;2008;John G. Thompson (US), Jacques Tits (Bel);for their profound achievements in algebra and in particular for shaping modern group theory
